0,[4.996763798805944],0.06
0,[4.898629890883895],0.06


0,[4.466377174557454],0.06
0,[3.523787808155125],0.06
0,[3.390651579268812],0.06


0,[3.0499026514378778],0.06
0,[2.9126917345088565],0.06
0,[2.6949957896085666],0.06
0,[2.6914528249204217],0.06


0,[2.2551016202011445],0.06
0,[2.243758405769329],0.06
0,[2.193520539123241],0.06
0,[2.1416158439363753],0.06
0,[2.127944701531282],0.06


0,[1.82436935529509],0.06
0,[1.7483455163293318],0.06
0,[1.754457814105013],0.06
0,[1.7355946238401783],0.06
0,[1.7277690849750624],0.06
0,[1.690697928918043],0.06


0,[1.4426169333946628],0.06
0,[1.4150995471788663],0.06
0,[1.3643710819388588],0.06
0,[1.358110334458118],0.06
0,[1.357217867738215],0.06
0,[1.3414083094731393],0.06
0,[1.3439243032806243],0.06


0,[1.3368287381644612],0.06
0,[1.2380842925923772],0.06
0,[1.2158391639141148],0.06
0,[1.1948842368832766],0.06
0,[1.175451216992636],0.06
0,[1.1705654736787203],0.06
0,[1.169557800976712],0.06
0,[1.1536074281553035],0.06


0,[1.0212910957366266],0.06
0,[0.9852679851838126],0.06
0,[0.979976655701089],0.06
0,[0.966328589445278],0.06
0,[0.9652883229224927],0.06
0,[0.9476742708308972],0.06
0,[0.9412703683702892],0.06
0,[0.9411688883418841],0.06
0,[0.9314786677535929],0.06


0,[0.9178166327115094],0.06
0,[0.8889350717521819],0.06
0,[0.8652062061525132],0.06
0,[0.8551305777641343],0.06
0,[0.8452308245613497],0.06
0,[0.8408237709423887],0.06
0,[0.8401938996219408],0.06
0,[0.8381074964660057],0.06
0,[0.8300037842816584],0.06
0,[0.8218022188094777],0.06
